"","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000115109","EPB41L5",-1.30719176948273,1.65176055907508,-4.45052888922253,0.000107641027514402,0.276565680027004,-0.477762604376946
"ENSG00000142192","APP",1.12529144973148,3.17921213460943,3.9617370191528,0.000419368844683377,0.538749175803245,-0.804525936104045
"ENSG00000063244","U2AF2",0.838583665699844,3.70512934303924,3.74918760188934,0.000749710108545359,0.679854766666779,-0.877339092585018
"ENSG00000184220","CMSS1",1.10770901366416,2.92800108928688,3.67965538774035,0.000905015824146726,0.71119483726708,-1.14679493520288
"ENSG00000162688","AGL",-0.630293409244018,3.51796047159189,-3.29943617158533,0.00248641609271585,0.999977295329465,-1.67490355514376
"ENSG00000006757","PNPLA4",-0.823156032936181,2.84274974243686,-3.35360106704543,0.00215767061809806,0.999977295329465,-1.87819855026796
"ENSG00000213057","C1orf220",2.65484680769355,-0.242894701460484,5.11760440480073,1.63390881508858e-05,0.249455828962387,-2.07331573070448
"ENSG00000259436","CTC-378H22.2",-1.15887039260677,2.33260425180346,-3.29376692816609,0.00252348222158404,0.999977295329465,-2.0788832053324
"ENSG00000214106","PAXIP1-AS2",-0.636778037279782,2.76444264775651,-3.14746092972238,0.00368538668352206,0.999977295329465,-2.14703202559583
"ENSG00000221988","PPT2",1.62530429377113,0.982733654583357,3.8502924825851,0.000569247931051862,0.585035073673034,-2.17608358709018
"ENSG00000132017","DCAF15",1.18380380575004,2.73835320554224,3.20356910751122,0.00318949205161655,0.999977295329465,-2.22224882576689
"ENSG00000241560","ZBTB20-AS1",2.89930777298548,0.374580678188347,4.67284446395299,5.75565745399394e-05,0.249455828962387,-2.22513629272987
"ENSG00000186081","KRT5",4.33465319455769,-0.43901138685678,4.78566688099227,4.18443831500339e-05,0.249455828962387,-2.26363815831183
"ENSG00000143458","GABPB2",-0.698052695163741,3.3551100163666,-2.97121093084,0.00576597357650213,0.999977295329465,-2.30807127040627
"ENSG00000030066","NUP160",-0.567573195200046,4.49401918940844,-2.91956122401246,0.00656138438145451,0.999977295329465,-2.31610703988761
"ENSG00000286588",NA,-1.30090533169023,1.30468006214819,-3.27085478710019,0.00267875851618046,0.999977295329465,-2.36279317546766
"ENSG00000087586","AURKA",1.41833589189776,0.956588268893054,3.43516530651989,0.00174027066840642,0.999977295329465,-2.39602028010347
"ENSG00000261326","LINC01355",-0.949904739533405,2.00192778427023,-3.13196959632188,0.00383476909008143,0.999977295329465,-2.41002432989424
"ENSG00000266378","RP11-214O1.3",-1.45730000319561,1.36847699764589,-3.26798838116848,0.00269881736477734,0.999977295329465,-2.41328321439061
"ENSG00000072803","FBXW11",-0.561875134643721,3.69710231607822,-2.89459208055662,0.00698204938126556,0.999977295329465,-2.41505297223192
"ENSG00000282431","TRBD1",2.95746670625694,-0.0547255942255377,4.54854348780516,8.17129122302148e-05,0.251937250988198,-2.45760112355588
"ENSG00000196743","GM2A",-1.26479074800022,4.26428493193057,-2.85460392851383,0.0077090893215276,0.999977295329465,-2.4629994394775
"ENSG00000092094","OSGEP",-0.328352968610224,5.71311876066512,-2.83238926940413,0.00814317456038045,0.999977295329465,-2.47077295365797
"ENSG00000101935","AMMECR1",-0.50843250265558,3.74643466788507,-2.83720844895705,0.00804709851220561,0.999977295329465,-2.50612048458969
"ENSG00000135372","NAT10",0.556034437627075,4.22116908566672,2.83240384637211,0.00814288233312368,0.999977295329465,-2.50771372473753
"ENSG00000122912","SLC25A16",-0.641313675237505,2.68987146681265,-2.90662114450447,0.00677631218769729,0.999977295329465,-2.51493719804345
"ENSG00000155380","SLC16A1",-0.925877287610009,2.56799080866865,-2.92684822940086,0.00644319962771145,0.999977295329465,-2.51520121824142
"ENSG00000260816","RP11-319G9.3",-1.97653851897125,-0.0631847141040173,-3.72714975741291,0.000795887859142832,0.681633735363661,-2.55038587862655
