"","Symbol","Time","TimeMale","AveExpr","F","P.Value","adj.P.Val"
"ENSG00000271009","RP11-346C20.3",2.0681239493812,3.36310820633032,-1.00102509525747,14.8591684634877,3.19582615264366e-05,0.393323866656757
"ENSG00000213057","C1orf220",1.10627059784992,2.65484680769355,-0.242894701460484,13.4742468397398,6.53506668651571e-05,0.393323866656757
"ENSG00000177599","ZNF491",1.81640980667572,1.91471755836983,-0.561774599736818,13.0985914159195,7.98202390328038e-05,0.393323866656757
"ENSG00000185532","PRKG1",-1.12939415362023,0.0308967740923674,-1.14439689358836,12.477472346671,0.000111764176477812,0.393323866656757
"ENSG00000186081","KRT5",1.94544239254953,4.33465319455769,-0.43901138685678,12.2371575952096,0.000127570013835222,0.393323866656757
"ENSG00000276471","RP11-398A8.5",-1.65624501877713,-3.06824386358287,-0.212771814706995,11.7123273045867,0.000170993875672586,0.395364411215088
"ENSG00000227252","AC105760.2",-1.03655386934144,-3.65166989605673,-0.752479957065221,11.1945642829336,0.00022959412818603,0.395364411215088
"ENSG00000115109","EPB41L5",-0.304693951843907,-1.30719176948273,1.65176055907508,11.1482567024694,0.000235792196510783,0.395364411215088
"ENSG00000282431","TRBD1",1.33776401759745,2.95746670625694,-0.0547255942255377,11.1101439353066,0.000241027246767175,0.395364411215088
"ENSG00000241560","ZBTB20-AS1",1.02076036951023,2.89930777298548,0.374580678188347,10.920031826542,0.0002690571283116,0.395364411215088
"ENSG00000197429","IPP",0.384334078115816,0.178634583498804,2.84651710961685,10.8385916663107,0.000282110049517772,0.395364411215088
"ENSG00000268056","CTD-3032J10.2",1.50691394651616,2.98265594328698,-0.743701683044661,10.3617548748369,0.000373414451986022,0.479713099318043
"ENSG00000269086","CTC-523E23.5",1.08097390128203,1.54170854680499,0.789827253406884,9.94422649446872,0.00047940561323941,0.568501302592211
"ENSG00000160602","NEK8",0.697683426391767,0.588879407728551,2.46222343647771,9.13416861747686,0.000787921490181686,0.831230474559189
"ENSG00000178773","CPNE7",1.40018619531306,1.88542455648466,0.122652783673573,9.09226191807542,0.000808799761182397,0.831230474559189
"ENSG00000225507","AC069282.6",-1.41631955795747,-3.18643850347265,-0.948034949294332,8.98190376178937,0.000866654333187651,0.835021450026302
"ENSG00000196951","SCOC-AS1",1.14654317570422,3.23028042125779,-1.02197913142721,8.85807630795488,0.000936864690560471,0.849570945275308
"ENSG00000284830",NA,1.22964818465846,2.5938485576804,-0.766167332291611,8.46953555031938,0.00119943140819049,0.989161867589403
"ENSG00000185989","RASA3",0.202430952117922,-0.12076032496708,5.63518103952897,8.31586502913454,0.00132403982423467,0.989161867589403
"ENSG00000279880","RP11-855A2.2",1.0946266270419,2.25273186087928,-0.443299046218101,8.18394152431536,0.00144203903388152,0.989161867589403
"ENSG00000197632","SERPINB2",-1.0564120328149,-1.63244016707053,0.786297065664573,8.15924920690752,0.00146534499272472,0.989161867589403
"ENSG00000286942",NA,-1.42480575742449,-3.18508290403804,-0.255707946972076,8.14518648145097,0.00147879735656001,0.989161867589403
"ENSG00000246308","RP11-685M7.3",0.323937023927353,-1.10231654198435,-0.743330757371589,8.05144013075808,0.00157190822601821,0.989161867589403
"ENSG00000282780","TRBJ1-6",1.1095303371296,1.24264851088178,-0.0791270292573699,8.04696347140958,0.0015765080919233,0.989161867589403
"ENSG00000257913","RP11-386G11.5",0.73919896039489,1.40104724781575,0.899717159498826,7.92800941213183,0.0017041456677813,0.989161867589403
"ENSG00000211845","TRAJ44",-0.0317640939924719,-1.75513381988927,-0.854306933293519,7.92034782620721,0.00171273572154733,0.989161867589403
"ENSG00000142192","APP",0.38262755093607,1.12529144973148,3.17921213460943,7.86645900786876,0.00177447478149316,0.989161867589403
"ENSG00000221988","PPT2",0.71828253799973,1.62530429377113,0.982733654583357,7.84762403943521,0.00179660951560089,0.989161867589403
"ENSG00000170017","ALCAM",-0.381453785475508,-0.216169191940287,3.63704775591473,7.79371889100744,0.00186160093164416,0.989601378007807
"ENSG00000111145","ELK3",-0.290972001493009,-0.160795194731771,4.33655397916684,7.51706416026948,0.00223700815444112,0.999936610241165
"ENSG00000254884","PRR13P2",1.30796400912206,1.4479231272801,-0.567421806999712,7.37148211454647,0.00246628020336896,0.999936610241165
"ENSG00000272142","RP11-428J1.5",-1.07448491676819,-1.7132115132285,-0.375162214180684,7.34006221645357,0.00251897486824439,0.999936610241165
"ENSG00000182057","OGFRP1",-0.190972166227834,1.19540093640231,-0.395201796885894,7.32162700543915,0.00255045043992872,0.999936610241165
"ENSG00000165131","C7orf34",-1.27550242927079,-2.09339756771615,-0.209975697005989,7.30097947721587,0.00258620172141009,0.999936610241165
"ENSG00000255559","ZNF252P-AS1",1.27125541578973,2.3316615240812,-0.0753126777347118,7.25663481087659,0.00266480329904181,0.999936610241165
"ENSG00000166484","MAPK7",0.561169873584686,0.615647828484393,2.34274757397301,7.23982507678128,0.00269526113004389,0.999936610241165
"ENSG00000171877","FRMD5",0.833926808741751,0.606877055906806,-0.172283940320998,7.17807197646301,0.00281037808863879,0.999936610241165
"ENSG00000226726","TMEM256P2",0.907632037614515,-0.732112969921391,-0.992164006992122,7.15848760399717,0.00284797224585802,0.999936610241165
"ENSG00000185015","CA13",-0.607986821260314,-0.140015293538572,0.778152374022424,7.1073181554329,0.0029487504270893,0.999936610241165
"ENSG00000132964","CDK8",0.071639274763617,0.877819209590806,2.0397994179755,7.10181620602275,0.0029598107495797,0.999936610241165
"ENSG00000118193","KIF14",-0.686265241826454,0.408449908327165,-0.476713313958233,7.10082404391552,0.00296180995123335,0.999936610241165
"ENSG00000063244","U2AF2",0.285313105072215,0.838583665699844,3.70512934303924,7.0446178150576,0.00307744987176591,0.999936610241165
